Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
97,Man I Need,Olivia Dean,2025-09-26,119,58,57,-7,72,3:04,46,75,67,6585,Sort Your Music.html,2025-10-04 23:02:12,1qbmS6ep2hbBRaEZFpn7BX,spotify:track:1qbmS6ep2hbBRaEZFpn7BX,Man I Need,Olivia Dean,Man I Need,2025-08-15,94,,https://open.spotify.com/track/1qbmS6ep2hbBRaEZFpn7BX,high
98,Something Inbetween,Olivia Dean,2025-09-26,160,51,54,-8,32,2:32,89,75,76,8081,Sort Your Music.html,2025-10-04 23:02:12,28HadeGsalBfbVfMEkCcF7,spotify:track:28HadeGsalBfbVfMEkCcF7,Something Inbetween,Olivia Dean,The Art of Loving,2025-09-26,75,,https://open.spotify.com/track/28HadeGsalBfbVfMEkCcF7,high
99,Loud,Olivia Dean,2025-09-26,85,16,52,-9,21,3:04,87,74,86,7210,Sort Your Music.html,2025-10-04 23:02:12,3bUpRf4GN6SV6ejgQ4IQxT,spotify:track:3bUpRf4GN6SV6ejgQ4IQxT,Loud,Olivia Dean,The Art of Loving,2025-09-26,74,,https://open.spotify.com/track/3bUpRf4GN6SV6ejgQ4IQxT,high
100,Baby Steps,Olivia Dean,2025-09-26,95,67,70,-8,39,3:17,16,76,96,4475,Sort Your Music.html,2025-10-04 23:02:12,5SruEBX3KpgpDvEcIuN53P,spotify:track:5SruEBX3KpgpDvEcIuN53P,Baby Steps,Olivia Dean,The Art of Loving,2025-09-26,76,,https://open.spotify.com/track/5SruEBX3KpgpDvEcIuN53P,high
101,A Couple Minutes,Olivia Dean,2025-09-26,125,41,56,-8,16,3:32,71,74,105,7233,Sort Your Music.html,2025-10-04 23:02:12,312z6PZ8wwREck8613PkJk,spotify:track:312z6PZ8wwREck8613PkJk,A Couple Minutes,Olivia Dean,The Art of Loving,2025-09-26,74,,https://open.spotify.com/track/312z6PZ8wwREck8613PkJk,high
102,I've Seen It,Olivia Dean,2025-09-26,181,15,39,-16,22,2:06,90,74,110,1018,Sort Your Music.html,2025-10-04 23:02:12,6tHVEMyRfxGgQuXRzl2yOF,spotify:track:6tHVEMyRfxGgQuXRzl2yOF,I've Seen It,Olivia Dean,The Art of Loving,2025-09-26,74,,https://open.spotify.com/track/6tHVEMyRfxGgQuXRzl2yOF,high
103,the hell of april,Sody,2025-10-03,82,29,43,-15,63,1:17,97,8,8,1858,Sort Your Music.html,2025-10-04 23:02:12,6vBz5kdTzlUYMDj267Ttk0,spotify:track:6vBz5kdTzlUYMDj267Ttk0,the hell of april,Sody,THE HELL OF APRIL,2025-10-03,8,,https://open.spotify.com/track/6vBz5kdTzlUYMDj267Ttk0,high
104,no contact,Sody,2025-10-03,181,41,23,-8,26,3:11,62,6,17,8760,Sort Your Music.html,2025-10-04 23:02:12,1vEEDwG2OD0AdtdAqyc5BT,spotify:track:1vEEDwG2OD0AdtdAqyc5BT,no contact,Sody,THE HELL OF APRIL,2025-10-03,6,,https://open.spotify.com/track/1vEEDwG2OD0AdtdAqyc5BT,high
105,bad news,Sody,2025-10-03,156,61,59,-7,64,2:25,10,5,26,9738,Sort Your Music.html,2025-10-04 23:02:12,0v6tQlcLLPedHuZhynNVw9,spotify:track:0v6tQlcLLPedHuZhynNVw9,bad news,Sody,THE HELL OF APRIL,2025-10-03,5,,https://open.spotify.com/track/0v6tQlcLLPedHuZhynNVw9,high
106,predictable,Sody,2025-10-03,156,67,60,-6,60,3:24,42,7,35,7040,Sort Your Music.html,2025-10-04 23:02:12,5aukZ6pWlFLGKoTqiyunvb,spotify:track:5aukZ6pWlFLGKoTqiyunvb,predictable,Sody,THE HELL OF APRIL,2025-10-03,7,,https://open.spotify.com/track/5aukZ6pWlFLGKoTqiyunvb,high
107,looking for you,Sody,2025-10-03,120,62,66,-7,68,3:23,33,5,44,4962,Sort Your Music.html,2025-10-04 23:02:12,3PuHNz5VJXwGoWisr7Fpvi,spotify:track:3PuHNz5VJXwGoWisr7Fpvi,looking for you,Sody,looking for you,2025-07-25,37,,https://open.spotify.com/track/3PuHNz5VJXwGoWisr7Fpvi,high
108,boys come and go,Sody,2025-10-03,113,36,44,-9,33,3:46,79,5,55,4449,Sort Your Music.html,2025-10-04 23:02:12,3jCAq8mb4xdmBvONTsZszV,spotify:track:3jCAq8mb4xdmBvONTsZszV,boys come and go,Sody,boys come and go / chameleon,2025-08-29,42,,https://open.spotify.com/track/3jCAq8mb4xdmBvONTsZszV,high
109,what was that? (voicenote),Sody,2025-10-03,162,25,45,-26,57,0:17,85,0,61,4419,Sort Your Music.html,2025-10-04 23:02:12,167JyC22uXUjmalosLbXhw,spotify:track:167JyC22uXUjmalosLbXhw,what was that? (voicenote),Sody,THE HELL OF APRIL,2025-10-03,0,,https://open.spotify.com/track/167JyC22uXUjmalosLbXhw,high
110,chameleon,Sody,2025-10-03,139,77,69,-7,90,2:42,42,5,70,6206,Sort Your Music.html,2025-10-04 23:02:12,2aYC5sJE9927D5DfSaasyR,spotify:track:2aYC5sJE9927D5DfSaasyR,chameleon,Sody,boys come and go / chameleon,2025-08-29,33,,https://open.spotify.com/track/2aYC5sJE9927D5DfSaasyR,high
111,dublin,Sody,2025-10-03,146,49,62,-8,54,3:43,25,6,79,9257,Sort Your Music.html,2025-10-04 23:02:12,4oS3LQQJma8J6SRzl9ek0s,spotify:track:4oS3LQQJma8J6SRzl9ek0s,dublin,Sody,THE HELL OF APRIL,2025-10-03,6,,https://open.spotify.com/track/4oS3LQQJma8J6SRzl9ek0s,high
112,self destruct mode,Sody,2025-10-03,119,63,69,-6,51,2:42,31,10,88,109,Sort Your Music.html,2025-10-04 23:02:12,7KQXfLNFK9xtNAwhV4oupL,spotify:track:7KQXfLNFK9xtNAwhV4oupL,self destruct mode,Sody,THE HELL OF APRIL,2025-10-03,10,,https://open.spotify.com/track/7KQXfLNFK9xtNAwhV4oupL,high
113,i've tried so hard to hate you,Sody,2025-10-03,108,37,57,-11,64,1:01,84,5,97,5507,Sort Your Music.html,2025-10-04 23:02:12,1mGw8Rr5ctyS6QuG5Vh69W,spotify:track:1mGw8Rr5ctyS6QuG5Vh69W,i've tried so hard to hate you,Sody,THE HELL OF APRIL,2025-10-03,5,,https://open.spotify.com/track/1mGw8Rr5ctyS6QuG5Vh69W,high
114,coward on the run,Sody,2025-10-03,113,37,63,-10,57,4:59,74,5,106,3218,Sort Your Music.html,2025-10-04 23:02:12,5UuwhubJqtSZM7GqWJwW3a,spotify:track:5UuwhubJqtSZM7GqWJwW3a,coward on the run,Sody,THE HELL OF APRIL,2025-10-03,5,,https://open.spotify.com/track/5UuwhubJqtSZM7GqWJwW3a,high
115,it was never about the dishwasher,Sody,2025-10-03,135,24,56,-12,42,2:53,94,7,111,9231,Sort Your Music.html,2025-10-04 23:02:12,65XlzJJVJ0ca9Za9aV00Oc,spotify:track:65XlzJJVJ0ca9Za9aV00Oc,it was never about the dishwasher,Sody,THE HELL OF APRIL,2025-10-03,7,,https://open.spotify.com/track/65XlzJJVJ0ca9Za9aV00Oc,high
