Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
14,Toxic Las Vegas - Jamieson Shaw Remix (From The Original Motion Picture Soundtrack ELVIS) DELUXE EDITION,Elvis Presley,2023-01-06,144,91,61,-5,71,2:52,2,40,24,5765,Sort Your Music.html,2025-10-04 23:09:58,7JRTxurpdtXfdWRy8rlHrZ,spotify:track:7JRTxurpdtXfdWRy8rlHrZ,Toxic Las Vegas - Jamieson Shaw Remix (From The Original Motion Picture Soundtrack ELVIS) DELUXE EDITION,"Elvis Presley, Britney Spears, Jamieson Shaw",Toxic Las Vegas [Jamieson Shaw Remix (From The Original Motion Picture Soundtrack ELVIS) DELUXE EDITION],2023-01-06,40,,https://open.spotify.com/track/7JRTxurpdtXfdWRy8rlHrZ,high
15,Black Mascara.,RAYE,2023-02-03,121,78,72,-7,8,4:00,42,61,0,5467,Sort Your Music.html,2025-10-04 23:09:58,3yM4sIOrG4UOJve2fQU7Zc,spotify:track:3yM4sIOrG4UOJve2fQU7Zc,Black Mascara.,RAYE,My 21st Century Blues,2023-02-03,61,,https://open.spotify.com/track/3yM4sIOrG4UOJve2fQU7Zc,high
17,Environmental Anxiety.,RAYE,2023-02-03,137,52,64,-9,6,3:14,38,53,58,2975,Sort Your Music.html,2025-10-04 23:09:58,0Pp2I1kM3JnnyAX2S5jtHG,spotify:track:0Pp2I1kM3JnnyAX2S5jtHG,Environmental Anxiety.,RAYE,My 21st Century Blues,2023-02-03,53,,https://open.spotify.com/track/0Pp2I1kM3JnnyAX2S5jtHG,high
18,Worth It.,RAYE,2023-02-03,110,48,74,-8,61,4:07,51,78,87,7277,Sort Your Music.html,2025-10-04 23:09:58,5UtuacQaBCpsSvmXktdoJZ,spotify:track:5UtuacQaBCpsSvmXktdoJZ,Worth It. - Live at the Royal Albert Hall,"RAYE, The Heritage Orchestra",My 21st Century Symphony. (Live at the Royal Albert Hall),2023-10-16,45,,https://open.spotify.com/track/5UtuacQaBCpsSvmXktdoJZ,high
20,オトノケ - Otonoke,Creepy Nuts,2024-10-04,170,84,52,-7,64,3:06,6,76,1,5167,Sort Your Music.html,2025-10-04 23:09:58,6KYOlIwDHbrbeBbJEtQ0Fj,spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj,オトノケ - Otonoke,Creepy Nuts,オトノケ - Otonoke,2024-10-04,76,,https://open.spotify.com/track/6KYOlIwDHbrbeBbJEtQ0Fj,high
21,Mantra,JENNIE,2024-10-10,117,73,89,-5,84,2:17,0,74,3,3989,Sort Your Music.html,2025-10-04 23:09:58,2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,Mantra,2024-10-10,74,,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb,high
22,Moonlit Floor (Kiss Me),LISA,2024-10-08,110,79,73,-4,67,2:36,13,56,4,6594,Sort Your Music.html,2025-10-04 23:09:58,3yDRcs0Y4pPzkvMbUfeF9H,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),2024-10-03,71,,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H,high
23,Adriana Again,Elbow,2024-11-07,145,53,70,-7,49,3:47,1,28,25,9485,Sort Your Music.html,2025-10-04 23:09:58,3HqKSqqdSc5wDrUGqsvnz3,spotify:track:3HqKSqqdSc5wDrUGqsvnz3,Adriana Again,Elbow,AUDIO VERTIGO (Deluxe),2025-06-06,33,,https://open.spotify.com/track/3HqKSqqdSc5wDrUGqsvnz3,high
24,yoyo,piri & tommy,2024-11-08,88,72,76,-7,56,2:37,55,36,26,2599,Sort Your Music.html,2025-10-04 23:09:58,6DNVY8fSGfbK28aO0qhIbG,spotify:track:6DNVY8fSGfbK28aO0qhIbG,yoyo,"piri & tommy, piri, Tommy Villiers, DJ Marky",about dancing,2024-11-08,36,,https://open.spotify.com/track/6DNVY8fSGfbK28aO0qhIbG,high
25,Supernova Love,IVE,2024-11-08,120,89,66,-5,78,3:20,7,68,27,1309,Sort Your Music.html,2025-10-04 23:09:58,5sTLGx6c7YRwnrWm6O091n,spotify:track:5sTLGx6c7YRwnrWm6O091n,Supernova Love,"IVE, David Guetta",Supernova Love,2024-11-08,68,,https://open.spotify.com/track/5sTLGx6c7YRwnrWm6O091n,high
